SignalID,ToolIndex,ADOC [mm],RDOC [mm],HardnessMean [HRC],CycleToFailureNormalized,ToolHolderLength [mm],ToolRotation [rpm],FeedRate [mm/min],ToolDiameter [mm]
0,2,5,8.0,36.67,1.0,80,3200,640,10
1,2,5,8.0,36.67,0.979591836734694,80,3200,640,10
2,2,5,8.0,36.67,0.9591836734693876,80,3200,640,10
3,2,5,8.0,36.67,0.9387755102040816,80,3200,640,10
4,2,5,8.0,36.67,0.9183673469387756,80,3200,640,10
5,2,5,8.0,36.67,0.8979591836734694,80,3200,640,10
6,2,5,8.0,36.67,0.8775510204081632,80,3200,640,10
7,2,5,8.0,36.67,0.8571428571428571,80,3200,640,10
8,2,5,8.0,36.67,0.8367346938775511,80,3200,640,10
9,2,5,8.0,36.67,0.8163265306122449,80,3200,640,10
10,2,5,8.0,36.67,0.7959183673469388,80,3200,640,10
11,2,5,8.0,36.67,0.7755102040816326,80,3200,640,10
12,2,5,8.0,36.67,0.7551020408163265,80,3200,640,10
13,2,5,8.0,36.67,0.7346938775510204,80,3200,640,10
14,2,5,8.0,36.67,0.7142857142857143,80,3200,640,10
15,2,5,8.0,36.67,0.6938775510204082,80,3200,640,10
16,2,5,8.0,36.67,0.673469387755102,80,3200,640,10
17,2,5,8.0,36.67,0.6530612244897959,80,3200,640,10
18,2,5,8.0,36.67,0.6326530612244898,80,3200,640,10
19,2,5,8.0,36.67,0.5918367346938775,80,3200,640,10
20,2,5,8.0,36.67,0.5714285714285714,80,3200,640,10
21,2,5,8.0,36.67,0.5510204081632653,80,3200,640,10
22,2,5,8.0,36.67,0.5306122448979592,80,3200,640,10
23,2,5,8.0,36.67,0.5102040816326531,80,3200,640,10
24,2,5,8.0,36.67,0.4897959183673469,80,3200,640,10
25,2,5,8.0,36.67,0.4693877551020408,80,3200,640,10
26,2,5,8.0,36.67,0.4489795918367347,80,3200,640,10
27,2,5,8.0,36.67,0.4285714285714285,80,3200,640,10
28,2,5,8.0,36.67,0.4081632653061224,80,3200,640,10
29,2,5,8.0,36.67,0.3877551020408163,80,3200,640,10
30,2,5,8.0,36.67,0.3265306122448979,80,3200,640,10
31,2,5,8.0,36.67,0.3265306122448979,80,3200,640,10
32,2,5,8.0,36.67,0.3061224489795918,80,3200,640,10
33,2,5,8.0,36.67,0.2857142857142857,80,3200,640,10
34,2,5,8.0,36.67,0.2653061224489796,80,3200,640,10
35,2,5,8.0,36.67,0.2448979591836734,80,3200,640,10
36,2,5,8.0,36.67,0.2244897959183673,80,3200,640,10
37,2,5,8.0,36.67,0.2040816326530612,80,3200,640,10
38,2,5,8.0,36.67,0.1836734693877551,80,3200,640,10
39,2,5,8.0,36.67,0.1632653061224489,80,3200,640,10
40,2,5,8.0,36.67,0.1428571428571428,80,3200,640,10
41,2,5,8.0,36.67,0.1224489795918367,80,3200,640,10
42,2,5,8.0,36.67,0.1020408163265306,80,3200,640,10
43,2,5,8.0,36.67,0.0816326530612244,80,3200,640,10
44,2,5,8.0,36.67,0.0612244897959183,80,3200,640,10
45,2,5,8.0,36.67,0.0408163265306122,80,3200,640,10
46,3,10,8.0,40.0,1.0,80,3200,640,10
47,3,10,8.0,40.0,0.979591836734694,80,3200,640,10
48,3,10,8.0,40.0,0.9591836734693876,80,3200,640,10
49,3,10,8.0,40.0,0.9387755102040816,80,3200,640,10
50,3,10,8.0,40.0,0.8979591836734694,80,3200,640,10
51,3,10,8.0,40.0,0.8775510204081632,80,3200,640,10
52,3,10,8.0,40.0,0.8571428571428571,80,3200,640,10
53,3,10,8.0,40.0,0.8163265306122449,80,3200,640,10
54,3,10,8.0,40.0,0.7959183673469388,80,3200,640,10
55,3,10,8.0,40.0,0.7551020408163265,80,3200,640,10
56,3,10,8.0,40.0,0.7346938775510204,80,3200,640,10
57,3,10,8.0,40.0,0.7142857142857143,80,3200,640,10
58,3,10,8.0,40.0,0.6938775510204082,80,3200,640,10
59,3,10,8.0,40.0,0.673469387755102,80,3200,640,10
60,3,10,8.0,40.0,0.6530612244897959,80,3200,640,10
61,3,10,8.0,40.0,0.6326530612244898,80,3200,640,10
62,3,10,8.0,40.0,0.6122448979591837,80,3200,640,10
63,3,10,8.0,40.0,0.5918367346938775,80,3200,640,10
64,3,10,8.0,40.0,0.5714285714285714,80,3200,640,10
65,3,10,8.0,40.0,0.5510204081632653,80,3200,640,10
66,3,10,8.0,40.0,0.5306122448979592,80,3200,640,10
67,3,10,8.0,39.33,0.5102040816326531,80,3200,640,10
68,3,10,8.0,39.33,0.4897959183673469,80,3200,640,10
69,3,10,8.0,39.33,0.4693877551020408,80,3200,640,10
70,3,10,8.0,39.33,0.4489795918367347,80,3200,640,10
71,3,10,8.0,39.33,0.4285714285714285,80,3200,640,10
72,3,10,8.0,39.33,0.4081632653061224,80,3200,640,10
73,3,10,8.0,39.33,0.3877551020408163,80,3200,640,10
74,3,10,8.0,39.33,0.3673469387755102,80,3200,640,10
75,3,10,8.0,39.33,0.3469387755102041,80,3200,640,10
76,3,10,8.0,39.33,0.3265306122448979,80,3200,640,10
77,3,10,8.0,39.33,0.3061224489795918,80,3200,640,10
78,3,10,8.0,39.33,0.2857142857142857,80,3200,640,10
79,3,10,8.0,39.33,0.2653061224489796,80,3200,640,10
80,3,10,8.0,39.33,0.2448979591836734,80,3200,640,10
81,3,10,8.0,39.33,0.2040816326530612,80,3200,640,10
82,3,10,8.0,39.33,0.1836734693877551,80,3200,640,10
83,3,10,8.0,39.33,0.1632653061224489,80,3200,640,10
84,3,10,8.0,39.33,0.1428571428571428,80,3200,640,10
85,3,10,8.0,39.33,0.1224489795918367,80,3200,640,10
86,3,10,8.0,39.33,0.1020408163265306,80,3200,640,10
87,3,10,8.0,39.33,0.0816326530612244,80,3200,640,10
88,7,10,4.5,40.33,1.0,80,3200,640,10
89,7,10,4.5,40.33,0.992063492063492,80,3200,640,10
90,7,10,4.5,40.33,0.984126984126984,80,3200,640,10
91,7,10,4.5,40.33,0.9761904761904762,80,3200,640,10
92,7,10,4.5,40.33,0.9682539682539684,80,3200,640,10
93,7,10,4.5,40.33,0.9603174603174603,80,3200,640,10
94,7,10,4.5,40.33,0.9523809523809524,80,3200,640,10
95,7,10,4.5,40.33,0.9444444444444444,80,3200,640,10
96,7,10,4.5,40.33,0.9365079365079364,80,3200,640,10
97,7,10,4.5,40.33,0.9285714285714286,80,3200,640,10
98,7,10,4.5,40.33,0.9206349206349206,80,3200,640,10
99,7,10,4.5,40.33,0.9126984126984128,80,3200,640,10
100,7,10,4.5,40.33,0.9047619047619048,80,3200,640,10
101,7,10,4.5,40.33,0.8968253968253969,80,3200,640,10
102,7,10,4.5,40.33,0.8888888888888888,80,3200,640,10
103,7,10,4.5,40.33,0.8809523809523809,80,3200,640,10
104,7,10,4.5,40.33,0.873015873015873,80,3200,640,10
105,7,10,4.5,40.33,0.8650793650793651,80,3200,640,10
106,7,10,4.5,40.33,0.8571428571428571,80,3200,640,10
107,7,10,4.5,40.33,0.8333333333333334,80,3200,640,10
108,7,10,4.5,40.33,0.8253968253968254,80,3200,640,10
109,7,10,4.5,40.33,0.8174603174603174,80,3200,640,10
110,7,10,4.5,40.33,0.8095238095238095,80,3200,640,10
111,7,10,4.5,40.33,0.8015873015873016,80,3200,640,10
112,7,10,4.5,40.33,0.7936507936507936,80,3200,640,10
113,7,10,4.5,40.33,0.7857142857142857,80,3200,640,10
114,7,10,4.5,40.33,0.7777777777777778,80,3200,640,10
115,7,10,4.5,40.33,0.7698412698412699,80,3200,640,10
116,7,10,4.5,40.33,0.7619047619047619,80,3200,640,10
117,7,10,4.5,40.33,0.753968253968254,80,3200,640,10
118,7,10,4.5,40.33,0.746031746031746,80,3200,640,10
119,7,10,4.5,40.33,0.7380952380952381,80,3200,640,10
120,7,10,4.5,40.33,0.7301587301587301,80,3200,640,10
121,7,10,4.5,40.33,0.7222222222222222,80,3200,640,10
122,7,10,4.5,40.33,0.7142857142857143,80,3200,640,10
123,7,10,4.5,40.33,0.7063492063492064,80,3200,640,10
124,7,10,4.5,40.33,0.6984126984126984,80,3200,640,10
125,7,10,4.5,40.33,0.6904761904761905,80,3200,640,10
126,7,10,4.5,40.33,0.6825396825396826,80,3200,640,10
127,7,10,4.5,40.33,0.6746031746031746,80,3200,640,10
128,2,5,8.0,35.33,0.0204081632653061,80,3200,640,10
129,2,5,8.0,35.33,0.0,80,3200,640,10
130,4,5,8.0,35.33,1.0,80,3200,640,10
131,4,5,8.0,35.33,0.975,80,3200,640,10
132,4,5,8.0,35.33,0.95,80,3200,640,10
133,4,5,8.0,35.33,0.925,80,3200,640,10
134,4,5,8.0,35.33,0.9,80,3200,640,10
135,4,5,8.0,35.33,0.875,80,3200,640,10
136,4,5,8.0,35.33,0.85,80,3200,640,10
137,4,5,8.0,35.33,0.825,80,3200,640,10
138,4,5,8.0,35.33,0.8,80,3200,640,10
139,4,5,8.0,35.33,0.775,80,3200,640,10
140,4,5,8.0,35.33,0.75,80,3200,640,10
141,4,5,8.0,35.33,0.725,80,3200,640,10
142,4,5,8.0,35.33,0.7,80,3200,640,10
143,4,5,8.0,35.33,0.675,80,3200,640,10
144,4,5,8.0,35.33,0.65,80,3200,640,10
145,4,5,8.0,35.33,0.625,80,3200,640,10
146,4,5,8.0,35.33,0.6,80,3200,640,10
147,4,5,8.0,35.33,0.575,80,3200,640,10
148,4,5,8.0,35.33,0.55,80,3200,640,10
149,4,5,8.0,35.33,0.525,80,3200,640,10
150,4,5,8.0,35.33,0.5,80,3200,640,10
151,4,5,8.0,35.33,0.475,80,3200,640,10
152,4,5,8.0,35.33,0.45,80,3200,640,10
153,4,5,8.0,35.33,0.425,80,3200,640,10
154,4,5,8.0,35.33,0.4,80,3200,640,10
155,4,5,8.0,35.33,0.375,80,3200,640,10
156,4,5,8.0,35.33,0.35,80,3200,640,10
157,4,5,8.0,35.33,0.325,80,3200,640,10
158,4,5,8.0,35.33,0.3,80,3200,640,10
159,4,5,8.0,35.33,0.275,80,3200,640,10
160,4,5,8.0,35.33,0.25,80,3200,640,10
161,4,5,8.0,35.33,0.225,80,3200,640,10
162,4,5,8.0,35.33,0.2,80,3200,640,10
163,4,5,8.0,35.33,0.175,80,3200,640,10
164,4,5,8.0,35.33,0.15,80,3200,640,10
165,4,5,8.0,35.33,0.125,80,3200,640,10
166,4,5,8.0,35.33,0.1,80,3200,640,10
167,4,5,8.0,35.33,0.075,80,3200,640,10
168,4,5,8.0,35.33,0.05,80,3200,640,10
169,4,5,8.0,35.33,0.025,80,3200,640,10
170,4,5,8.0,35.33,0.0,80,3200,640,10
171,5,10,8.0,38.17,0.1698113207547169,80,3200,640,10
172,5,10,8.0,38.17,0.1509433962264151,80,3200,640,10
173,5,10,8.0,38.17,0.1320754716981132,80,3200,640,10
174,5,10,8.0,38.17,0.1132075471698113,80,3200,640,10
175,5,10,8.0,38.17,0.0943396226415094,80,3200,640,10
176,5,10,8.0,38.17,0.0754716981132075,80,3200,640,10
177,5,10,8.0,38.17,0.0566037735849056,80,3200,640,10
178,5,10,8.0,38.17,0.0377358490566037,80,3200,640,10
179,5,10,8.0,38.17,0.0188679245283018,80,3200,640,10
180,5,10,8.0,38.17,0.0,80,3200,640,10
181,5,10,8.0,38.33,0.6226415094339622,80,3200,640,10
182,5,10,8.0,38.33,0.6037735849056604,80,3200,640,10
183,5,10,8.0,38.33,0.5849056603773585,80,3200,640,10
184,5,10,8.0,38.33,0.5471698113207547,80,3200,640,10
185,5,10,8.0,38.33,0.5283018867924528,80,3200,640,10
186,5,10,8.0,38.33,0.5094339622641509,80,3200,640,10
187,5,10,8.0,38.33,0.490566037735849,80,3200,640,10
188,5,10,8.0,38.33,0.4716981132075472,80,3200,640,10
189,5,10,8.0,38.33,0.4528301886792453,80,3200,640,10
190,5,10,8.0,38.33,0.4339622641509434,80,3200,640,10
191,5,10,8.0,38.33,0.4150943396226415,80,3200,640,10
192,5,10,8.0,38.33,0.3962264150943396,80,3200,640,10
193,5,10,8.0,38.33,0.3773584905660377,80,3200,640,10
194,5,10,8.0,38.33,0.3584905660377358,80,3200,640,10
195,5,10,8.0,38.33,0.3396226415094339,80,3200,640,10
196,5,10,8.0,38.33,0.320754716981132,80,3200,640,10
197,5,10,8.0,38.33,0.3018867924528302,80,3200,640,10
198,5,10,8.0,38.33,0.2830188679245283,80,3200,640,10
199,5,10,8.0,38.33,0.2641509433962264,80,3200,640,10
200,5,10,8.0,38.33,0.2452830188679245,80,3200,640,10
201,5,10,8.0,38.33,0.2264150943396226,80,3200,640,10
202,5,10,8.0,38.33,0.2075471698113207,80,3200,640,10
203,5,10,8.0,38.33,0.1886792452830188,80,3200,640,10
204,6,5,8.0,40.0,1.0,80,3200,640,10
205,6,5,8.0,40.0,0.9310344827586208,80,3200,640,10
206,6,5,8.0,40.0,0.896551724137931,80,3200,640,10
207,6,5,8.0,40.0,0.8620689655172413,80,3200,640,10
208,6,5,8.0,40.0,0.8275862068965517,80,3200,640,10
209,6,5,8.0,40.0,0.7931034482758621,80,3200,640,10
210,6,5,8.0,40.0,0.7586206896551724,80,3200,640,10
211,6,5,8.0,40.0,0.7241379310344828,80,3200,640,10
212,6,5,8.0,40.0,0.6896551724137931,80,3200,640,10
213,6,5,8.0,40.0,0.6551724137931034,80,3200,640,10
214,6,5,8.0,40.0,0.6206896551724138,80,3200,640,10
215,6,5,8.0,40.0,0.5862068965517241,80,3200,640,10
216,6,5,8.0,40.0,0.5517241379310345,80,3200,640,10
217,6,5,8.0,40.0,0.5172413793103449,80,3200,640,10
218,6,5,8.0,40.0,0.4827586206896552,80,3200,640,10
219,6,5,8.0,40.0,0.4482758620689655,80,3200,640,10
220,6,5,8.0,40.0,0.4137931034482758,80,3200,640,10
221,6,5,8.0,40.0,0.3793103448275862,80,3200,640,10
222,6,5,8.0,40.0,0.3448275862068966,80,3200,640,10
223,6,5,8.0,40.0,0.3103448275862069,80,3200,640,10
224,6,5,8.0,40.0,0.2758620689655172,80,3200,640,10
225,6,5,8.0,40.0,0.2413793103448276,80,3200,640,10
226,6,5,8.0,40.0,0.2068965517241379,80,3200,640,10
227,6,5,8.0,40.0,0.1724137931034483,80,3200,640,10
228,6,5,8.0,40.0,0.1379310344827586,80,3200,640,10
229,6,5,8.0,40.0,0.1034482758620689,80,3200,640,10
230,6,5,8.0,40.0,0.0689655172413793,80,3200,640,10
232,8,5,4.5,41.67,1.0,80,3200,640,10
233,8,5,4.5,41.67,0.991304347826087,80,3200,640,10
234,8,5,4.5,41.67,0.982608695652174,80,3200,640,10
235,8,5,4.5,41.67,0.9739130434782608,80,3200,640,10
236,8,5,4.5,41.67,0.9652173913043478,80,3200,640,10
237,8,5,4.5,41.67,0.9565217391304348,80,3200,640,10
238,8,5,4.5,41.67,0.9478260869565216,80,3200,640,10
239,8,5,4.5,41.67,0.9391304347826088,80,3200,640,10
240,8,5,4.5,41.67,0.9304347826086956,80,3200,640,10
241,8,5,4.5,41.67,0.9217391304347826,80,3200,640,10
242,8,5,4.5,41.67,0.9130434782608696,80,3200,640,10
243,8,5,4.5,41.67,0.9043478260869564,80,3200,640,10
244,8,5,4.5,41.67,0.8956521739130435,80,3200,640,10
245,8,5,4.5,41.67,0.8869565217391304,80,3200,640,10
246,8,5,4.5,41.67,0.8782608695652174,80,3200,640,10
247,8,5,4.5,41.67,0.8695652173913043,80,3200,640,10
248,8,5,4.5,41.67,0.8608695652173913,80,3200,640,10
249,8,5,4.5,41.67,0.8521739130434782,80,3200,640,10
250,8,5,4.5,41.67,0.8434782608695652,80,3200,640,10
251,8,5,4.5,41.67,0.8347826086956521,80,3200,640,10
252,8,5,4.5,41.67,0.8260869565217391,80,3200,640,10
253,8,5,4.5,41.67,0.8173913043478261,80,3200,640,10
254,8,5,4.5,41.67,0.808695652173913,80,3200,640,10
255,8,5,4.5,41.67,0.8,80,3200,640,10
256,8,5,4.5,41.67,0.7913043478260869,80,3200,640,10
257,8,5,4.5,41.67,0.782608695652174,80,3200,640,10
258,8,5,4.5,41.67,0.7739130434782608,80,3200,640,10
259,8,5,4.5,41.67,0.7652173913043478,80,3200,640,10
260,8,5,4.5,41.67,0.7565217391304347,80,3200,640,10
261,8,5,4.5,41.67,0.7478260869565218,80,3200,640,10
262,8,5,4.5,41.67,0.7391304347826086,80,3200,640,10
263,8,5,4.5,41.67,0.7304347826086957,80,3200,640,10
264,8,5,4.5,41.67,0.7217391304347827,80,3200,640,10
265,8,5,4.5,41.67,0.7130434782608696,80,3200,640,10
266,8,5,4.5,41.67,0.7043478260869566,80,3200,640,10
267,8,5,4.5,41.67,0.6956521739130435,80,3200,640,10
268,8,5,4.5,41.67,0.6869565217391305,80,3200,640,10
269,8,5,4.5,41.67,0.6782608695652174,80,3200,640,10
270,8,5,4.5,41.67,0.6695652173913044,80,3200,640,10
271,8,5,4.5,41.67,0.6608695652173913,80,3200,640,10
272,8,5,4.5,41.67,0.6521739130434783,80,3200,640,10
273,8,5,4.5,41.67,0.6434782608695652,80,3200,640,10
274,8,5,4.5,41.67,0.6347826086956522,80,3200,640,10
275,8,5,4.5,41.67,0.6260869565217392,80,3200,640,10
276,8,5,4.5,41.67,0.6173913043478261,80,3200,640,10
277,8,5,4.5,41.67,0.6086956521739131,80,3200,640,10
278,8,5,4.5,41.67,0.6,80,3200,640,10
279,8,5,4.5,41.67,0.591304347826087,80,3200,640,10
280,8,5,4.5,41.67,0.5826086956521739,80,3200,640,10
281,8,5,4.5,41.67,0.5739130434782609,80,3200,640,10
282,8,5,4.5,41.67,0.5652173913043478,80,3200,640,10
283,8,5,4.5,41.67,0.5565217391304348,80,3200,640,10
284,8,5,4.5,41.67,0.5478260869565217,80,3200,640,10
285,8,5,4.5,41.67,0.5391304347826087,80,3200,640,10
286,8,5,4.5,41.67,0.5304347826086957,80,3200,640,10
287,8,5,4.5,41.67,0.5217391304347826,80,3200,640,10
288,8,5,4.5,41.67,0.5130434782608696,80,3200,640,10
289,8,5,4.5,41.67,0.5043478260869565,80,3200,640,10
290,8,5,4.5,41.67,0.4956521739130435,80,3200,640,10
291,8,5,4.5,41.67,0.4869565217391304,80,3200,640,10
292,8,5,4.5,41.67,0.4782608695652174,80,3200,640,10
293,8,5,4.5,41.67,0.4695652173913043,80,3200,640,10
294,8,5,4.5,41.67,0.4608695652173913,80,3200,640,10
295,8,5,4.5,41.67,0.4521739130434782,80,3200,640,10
296,8,5,4.5,41.67,0.4434782608695652,80,3200,640,10
297,8,5,4.5,41.67,0.4347826086956521,80,3200,640,10
298,8,5,4.5,41.67,0.4260869565217391,80,3200,640,10
299,8,5,4.5,41.67,0.417391304347826,80,3200,640,10
300,8,5,4.5,41.67,0.408695652173913,80,3200,640,10
301,8,5,4.5,41.67,0.4,80,3200,640,10
302,8,5,4.5,41.67,0.391304347826087,80,3200,640,10
303,8,5,4.5,41.67,0.3826086956521739,80,3200,640,10
304,8,5,4.5,41.67,0.3739130434782609,80,3200,640,10
305,8,5,4.5,41.67,0.3652173913043478,80,3200,640,10
306,8,5,4.5,41.67,0.3565217391304348,80,3200,640,10
307,8,5,4.5,41.67,0.3478260869565217,80,3200,640,10
308,8,5,4.5,41.67,0.3391304347826087,80,3200,640,10
309,8,5,4.5,41.67,0.3304347826086956,80,3200,640,10
310,8,5,4.5,41.67,0.3217391304347826,80,3200,640,10
311,8,5,4.5,41.67,0.3130434782608696,80,3200,640,10
312,8,5,4.5,41.67,0.3043478260869565,80,3200,640,10
